State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Thursday,10:15am - 10:45am,Libraries ACT - Belconnen Branch,"61 Swanson Court, Belconnen ACT 2617"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Thursday,11:15am - 11:45am,Libraries ACT - Belconnen Branch,"61 Swanson Court, Belconnen ACT 2617"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"A popular program for babies and toddlers, featuring songs, dance, and rhymes to boost language development.",0-2 years,Monday,10:15am - 10:45am,Libraries ACT - Dickson Branch,"Antill St, Dickson ACT 2602"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Monday,11:15am - 11:45am,Libraries ACT - Dickson Branch,"Antill St, Dickson ACT 2602"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"A popular program for babies and toddlers, featuring songs, dance, and rhymes to boost language development.",0-2 years,Tuesday,10:15am - 10:45am,Libraries ACT - Erindale Branch,"133 McBryde Cres, Wanniassa ACT 2903"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Tuesday,11:15am - 11:45am,Libraries ACT - Erindale Branch,"133 McBryde Cres, Wanniassa ACT 2903"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Tuesday,10:15am - 10:45am,Libraries ACT - Gungahlin Branch,"Corner of Hibberson & Gozzard St, Gungahlin ACT 2912"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Giggle & Wiggle program for babies and toddlers with fun activities to enhance language development.,0-2 years,Tuesday,11:15am - 11:45am,Libraries ACT - Gungahlin Branch,"Corner of Hibberson & Gozzard St, Gungahlin ACT 2912"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Engaging language development activities for babies and toddlers.,0-2 years,Friday,10:15am - 10:45am,Libraries ACT - Kippax Branch,"35 Hardwick Cres, Holt ACT 2615"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Fun-filled session focusing on language development for babies and toddlers.,0-2 years,Friday,11:15am - 11:45am,Libraries ACT - Kippax Branch,"35 Hardwick Cres, Holt ACT 2615"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"A session designed to help babies and toddlers grow through singing, dancing, and rhymes.",0-2 years,Saturday,10:15am - 10:45am,Libraries ACT - Kippax Branch,"35 Hardwick Cres, Holt ACT 2615"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"Giggle & Wiggle is a program for babies and toddlers, aiming to boost language development through songs, dance, and rhymes.",0-2 years,Wednesday,10:15am - 10:45am,Libraries ACT - Tuggeranong Branch,"175/245 Cowlishaw St, Greenway ACT 2900"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"Giggle & Wiggle is a program for babies and toddlers, aiming to boost language development through songs, dance, and rhymes.",0-2 years,Wednesday,11:15am - 11:45am,Libraries ACT - Tuggeranong Branch,"175/245 Cowlishaw St, Greenway ACT 2900"
ACT,City of Canberra,Giggle & Wiggle,infant_session,Fun and interactive program for babies and toddlers focused on language development.,0-2 years,Thursday,10:15am - 10:45am,Libraries ACT - Woden Branch,"Cnr Furzer & Corinna St Phillip, ACT 2606"
ACT,City of Canberra,Giggle & Wiggle,infant_session,"A session designed to develop language skills through rhymes, dancing, and singing.",0-2 years,Thursday,11:15am - 11:45am,Libraries ACT - Woden Branch,"Cnr Furzer & Corinna St Phillip, ACT 2606"
