name,start_time,end_time,day,location
Giggle & Wiggle,10:15,10:45,Thursday,Libraries ACT - Belconnen Branch
Giggle & Wiggle,11:15,11:45,Thursday,Libraries ACT - Belconnen Branch
Giggle & Wiggle,10:15,10:45,Monday,Libraries ACT - Dickson Branch
Giggle & Wiggle,11:15,11:45,Monday,Libraries ACT - Dickson Branch
Giggle & Wiggle,10:15,10:45,Tuesday,Libraries ACT - Erindale Branch
Giggle & Wiggle,11:15,11:45,Tuesday,Libraries ACT - Erindale Branch
Giggle & Wiggle,10:15,10:45,Tuesday,Libraries ACT - Gungahlin Branch
Giggle & Wiggle,11:15,11:45,Tuesday,Libraries ACT - Gungahlin Branch
Giggle & Wiggle,10:15,10:45,Friday,Libraries ACT - Kippax Branch
Giggle & Wiggle,11:15,11:45,Friday,Libraries ACT - Kippax Branch
Giggle & Wiggle,10:15,10:45,Saturday,Libraries ACT - Kippax Branch
Giggle & Wiggle,10:15,10:45,Wednesday,Libraries ACT - Tuggeranong Branch
Giggle & Wiggle,11:15,11:45,Wednesday,Libraries ACT - Tuggeranong Branch
Giggle & Wiggle,10:15,10:45,Thursday,Libraries ACT - Woden Branch
Giggle & Wiggle,11:15,11:45,Thursday,Libraries ACT - Woden Branch
Storytime,10:15,10:45,Wednesday,Libraries ACT - Belconnen Branch
Storytime,10:15,10:45,Friday,Libraries ACT - Belconnen Branch
Storytime,10:15,10:45,Thursday,Libraries ACT - Dickson Branch
Storytime,10:15,10:45,Saturday,Libraries ACT - Dickson Branch
Storytime,10:15,10:45,Thursday,Libraries ACT - Erindale Branch
Storytime,10:15,10:45,Friday,Libraries ACT - Gungahlin Branch
Storytime,10:15,10:45,Friday,Libraries ACT - Kingston Branch
Storytime,10:15,10:45,Tuesday,Libraries ACT - Kippax Branch
Storytime,10:15,10:45,Thursday,Libraries ACT - Kippax Branch
Storytime,10:15,10:45,Monday,Libraries ACT - Tuggeranong Branch
Storytime,10:15,10:45,Saturday,Libraries ACT - Tuggeranong Branch
Storytime,10:15,10:45,Wednesday,Libraries ACT - Woden Branch
LEGO Brick Club,15:45,16:45,Tuesday,Libraries ACT - Belconnen Branch
LEGO Brick Club,16:00,17:00,Tuesday,Libraries ACT - Dickson Branch
LEGO Brick Club,13:30,14:30,Sunday,Libraries ACT - Gungahlin Branch
LEGO Brick Club,15:45,16:45,Thursday,Libraries ACT - Kippax Branch
LEGO Brick Club,15:45,16:45,Wednesday,Libraries ACT - Tuggeranong Branch
Story Dogs Reading Support,16:00,17:00,Friday,Libraries ACT - Dickson Branch
Story Dogs Reading Support,16:00,17:00,Wednesday,Libraries ACT - Gungahlin Branch
Story Dogs Reading Support,16:00,17:00,Friday,Libraries ACT - Tuggeranong Branch
