State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Ku-ring-gai Council,Rock-a-Bye,infant_session,"Join us for storytime for books, songs, games and fun.",0 - 1 year,Tuesday,11:00am - 11:30am,Lindfield Library,"265 Pacific Hwy, Lindfield NSW 2070",AEDT,Not available in school holidays or public holidays
NSW,Ku-ring-gai Council,Rock-a-Bye,infant_session,"Join us for storytime for books, songs, games and fun.",0 - 1 year,Tuesday,10:00am - 10:30am,Gordon Library,"799 Pacific Hwy, Gordon NSW 2072",AEDT,Not available in school holidays or public holidays
NSW,Ku-ring-gai Council,Rock-a-Bye,infant_session,"Join us for storytime for books, songs, games and fun.",0 - 1 year,Wednesday,10:00am - 10:30am,Gordon Library,"799 Pacific Hwy, Gordon NSW 2072",AEDT,Not available in school holidays or public holidays
NSW,Ku-ring-gai Council,Rock-a-Bye,infant_session,"Join us for storytime for books, songs, games and fun.",0 - 1 year,Friday,11:15am - 11:45am,St Ives Library,"166 Mona Vale Rd, St. Ives NSW 2075",AEDT,Not available in school holidays or public holidays
NSW,Ku-ring-gai Council,Rock-a-Bye,infant_session,"Join us for storytime for books, songs, games and fun.",0 - 1 year,Thursday,11:00am - 11:30am,Turramurra Library,"5 Ray St, Turramurra NSW 2074",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills.,0 - 1 years,Tuesday,10:00am - 10:30am,Forestville Library,"6 Darley St, Forestville NSW 2087",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills.,0 - 1 years,Tuesday,10:00am - 10:30am,Warringah Mall Library,"Shop 650/145 Old Pittwater Rd, Brookvale NSW 2100",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,"This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills. When attending a session at Manly Library, remember to collect a free ticket from the front counter to secure your spot. ",0 - 1 years,Wednesday,"10:00am - 10:30am
10:30am - 11:00am",Manly Library,"1 Market Ln, Manly NSW 2095",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills.,0 - 1 years,Wednesday,10:00am - 10:30am,Mona Vale Library,"1 Park St, Mona Vale NSW 2103",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills.,0 - 1 years,Thursday,10:00am - 10:30am,Dee Why Library,"725 Pittwater Rd, Dee Why NSW 2099",AEDT,Not available in school holidays or public holidays
NSW,Northern Beaches Council,Baby Bounce,infant_session,This is a lap-sit program specifically designed for carers and babies up to around 12 months of age. Learn songs and rhymes in a group setting that you can use at home with bub to help develop early literacy skills.,0 - 1 years,Thursday,10:00am - 10:30am,Glen Street Library,"Cnr Glen Street and, Blackbutts Rd, Frenchs Forest NSW 2085",AEDT,Not available in school holidays or public holidays
NSW,Willoughby City Council,Baby Time,infant_session,"Fun stories, action songs and rhymes for your baby. Bookings essential and opened one week in advance.",0 - 1.2 years,Tuesday,10:00am - 10:45am,Chatswood Library,"Chatswood Concourse, 409 Victoria Ave, Chatswood NSW 2067",AEDT,Not available in school holidays or public holidays
NSW,Willoughby City Council,Baby Time,infant_session,"Fun stories, action songs and rhymes for your baby. Bookings essential and opened one week in advance.",0 - 1.2 years,Wednesday,11:00am - 11:45am,Chatswood Library,"Chatswood Concourse, 409 Victoria Ave, Chatswood NSW 2067",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Tuesday,10:30am - 11:00am,Arncliffe Library,"11 Firth St, Arncliffe NSW 2205",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Wednesday,10:30am - 11:00am,Bexley North Library,"24 Shaw St, Bexley North NSW 2207",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. Bookings essential - see website!,0 - 1.5 years,Thursday,10:30am - 11:00am,Eastgardens Library,"152 Bunnerong Rd, Eastgardens NSW 2036",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Thursday,10:30am - 11:00am,Mascot Library,"2 Hatfield St, Mascot NSW 2020",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Thursday,10:30am - 11:00am,Sans Souci Library,"104 Russell Ave, Sans Souci NSW 2219",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,infant_session,30 minutes of songs and rhymes for children aged 0-18 months. Bookings essential - see website!,0 - 1.5 years,Wednesday,10:30am - 11:00am,Rockdale Library,"444/446 Princes Hwy, Rockdale NSW 2216",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Rhyme Time,infant_session,"Join us at Rhyme Time for simple stories, songs, and rhymes for babies, toddlers, and their carers.",0 - 1.5 years,Monday,10:00am - 10:30am,Hurstville Library,"Corner Dora Street and, Queens Rd, Hurstville NSW 2220",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Rhyme Time,infant_session,"Join us at Rhyme Time for simple stories, songs, and rhymes for babies, toddlers, and their carers.",0 - 1.5 years,Tuesday,10:30am - 11:00am,Penshurst Library,"630 Forest Rd, Penshurst NSW 2222",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Rhyme Time,infant_session,"Join us at Rhyme Time for simple stories, songs, and rhymes for babies, toddlers, and their carers.",0 - 1.5 years,Thursday,10:00am - 10:30am,Clive James Kogarah Library and Service Centre,"Kogarah Town Square, Belgrave St, Kogarah NSW 2217",AEDT,Not available in school holidays or public holidays
NSW,Georges River Council,Rhyme Time,infant_session,"Join us at Rhyme Time for simple stories, songs, and rhymes for babies, toddlers, and their carers.",0 - 1.5 years,Friday,10:30am - 11:00am,Oatley Library,"26 Letitia St, Oatley NSW 2223",AEDT,Not available in school holidays or public holidays
NSW,Hornsby Shire Council,Bubs & Books,infant_session,"Introduces babies and toddlers to books, songs, rhymes, and fingerplays.",0 - 1.5 years,Tuesday,11:00am - 11:30am,Hornsby Library,"28-44 George Street, Hornsby NSW 2077",AEDT,Not available in school holidays or public holidays
NSW,Hornsby Shire Council,Bubs & Books,infant_session,"Introduces babies and toddlers to books, songs, rhymes, and fingerplays.",0 - 1.5 years,Thursday,11:00am - 11:30am,Hornsby Library,"28-44 George Street, Hornsby NSW 2077",AEDT,Not available in school holidays or public holidays
NSW,Hornsby Shire Council,Bubs & Books,infant_session,"Introduces babies and toddlers to books, songs, rhymes, and fingerplays.",0 - 1.5 years,Wednesday,11:00am - 11:30am,Pennant Hills Library,"2-6 Trafalgar Avenue, Pennant Hills NSW 2120",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Book Babies,infant_session,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Monday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Book Babies,infant_session,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Tuesday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Book Babies,infant_session,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Thursday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Rhyme Time,infant_session,"Bilingual rhymetime is a fun interactive session for 0 to 2 year olds and their carers. Songs and rhymes sung in Mandarin and English support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange. Join our 20 minutes sessions, spending time together enjoying fingerplay and singing songs.",0 - 2 years,Monday,10:30am - 10:50am,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Rhyme Time,infant_session,"Bilingual rhymetime is a fun interactive session for 0 to 2 year olds and their carers. Songs and rhymes sung in Mandarin and English support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange.",0 - 2 years,Wednesday,10:30am - 10:50am,Darling Square Library,"Levels 1 and 2, The Exchange, 1 Little Pier Street, Haymarket NSW 2000",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,infant_session,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Wednesday,10:30am - 10:50am,Surry Hills Neighbourhood Centre,"405 Crown Street, Surry Hills NSW 2010",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,infant_session,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,10:15am - 10:35am,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,infant_session,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,"
11:00am - 11:20am",Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,infant_session,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,10:30am - 10:50am,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Wednesday,10:30am - 11:00am,Ashfield Library,"Level 3, 260 Liverpool Road, Ashfield NSW 2131",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Friday,10:30am - 11:00am,Ashfield Library,"Level 3, 260 Liverpool Road, Ashfield NSW 2131",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Tuesday,10:30am - 11:00am,Balmain Library,"370 Darling Street, Balmain NSW 2041",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Friday,10:30am - 11:00am,Balmain Library,"370 Darling Street, Balmain NSW 2041",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Monday,10:30am - 11:00am,Emanuel Tsardoulias Community Library,"362-372 New Canterbury Road, Dulwich Hill NSW 2203",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Book Buddies,infant_session,"Suitable for ages 0-2 years.
Introduce babies and carers to the fun and enjoyment of rhythm and nursery rhymes.",0 - 2 years,Wednesday,10:30am - 11:00am,Haberfield Library,"78 Dalhousie Street, Haberfield NSW 2045",AEDT,Not available in school holidays or public holidays
