name,start_time,end_time,day,location
Rock-a-Bye,11:00,11:30,Tuesday,Lindfield Library
Rock-a-Bye,10:00,10:30,Tuesday,Gordon Library
Rock-a-Bye,10:00,10:30,Wednesday,Gordon Library
Rock-a-Bye,11:15,11:45,Friday,St Ives Library
Rock-a-Bye,11:00,11:30,Thursday,Turramurra Library
Baby Bounce,10:00,10:30,Tuesday,Forestville Library
Baby Bounce,10:00,10:30,Tuesday,Warringah Mall Library
Baby Bounce,10:00,10:30,Wednesday,Manly Library
Baby Bounce,10:00,10:30,Wednesday,Mona Vale Library
Baby Bounce,10:00,10:30,Thursday,Dee Why Library
Baby Bounce,10:00,10:30,Thursday,Glen Street Library
Baby Time,10:00,10:45,Tuesday,Chatswood Library
Baby Time,11:00,11:45,Wednesday,Chatswood Library
Baby Rhyme Time,10:30,11:00,Tuesday,Arncliffe Library
Baby Rhyme Time,10:30,11:00,Wednesday,Bexley North Library
Baby Rhyme Time,10:30,11:00,Thursday,Eastgardens Library
Baby Rhyme Time,10:30,11:00,Thursday,Mascot Library
Baby Rhyme Time,10:30,11:00,Thursday,Sans Souci Library
Baby Rhyme Time,10:30,11:00,Wednesday,Rockdale Library
Rhyme Time,10:00,10:30,Monday,Hurstville Library
Rhyme Time,10:30,11:00,Tuesday,Penshurst Library
Rhyme Time,10:00,10:30,Thursday,Clive James Kogarah Library and Service Centre
Rhyme Time,10:30,11:00,Friday,Oatley Library
Bubs & Books,11:00,11:30,Tuesday,Hornsby Library
Bubs & Books,11:00,11:30,Thursday,Hornsby Library
Bubs & Books,11:00,11:30,Wednesday,Pennant Hills Library
Book Babies,09:30,10:00,Monday,Waverley Library
Book Babies,09:30,10:00,Tuesday,Waverley Library
Book Babies,09:30,10:00,Thursday,Waverley Library
Bilingual Rhyme Time,10:30,10:50,Monday,Green Square Library
Bilingual Rhyme Time,10:30,10:50,Wednesday,Darling Square Library
Rhyme Time,10:30,10:50,Wednesday,Surry Hills Neighbourhood Centre
Rhyme Time,10:15,10:35,Thursday,Green Square Library
Rhyme Time,10:30,10:50,Thursday,Glebe Library
Book Buddies,10:30,11:00,Wednesday,Ashfield Library
Book Buddies,10:30,11:00,Friday,Ashfield Library
Book Buddies,10:30,11:00,Tuesday,Balmain Library
