State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Friday,11:00am - 11:30am,Goonellabah Community Centre,"27 Oliver Ave, Goonellabah NSW 2480"
NSW,Tweed Shire Council,Story Time,books,"Story Time is suitable for children 3 years to school-age and their caregivers. These interactive sessions involve reading, singing, craft, and lots of library fun!",3 - 6 years,Tuesday,10:30am - 11:00am,Goonellabah Community Centre,"27 Oliver Ave, Goonellabah NSW 2480"
NSW,Tweed Shire Council,Toddler Time,toddler_session,"Join us as we move, sing, wiggle, and read in this session designed for busy toddlers who are on-the-go! Meet other caregivers and toddlers, learn action rhymes and songs that help develop your child’s pre-literacy communication, language, concentration, and social skills.",2 - 3 years,Friday,10:00am - 10:30am,Goonellabah Community Centre,"27 Oliver Ave, Goonellabah NSW 2480"
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Tuesday,10:00am - 10:30am,Tweed Heads Civic and Cultural Centre,"Cnr Brett St and, Wharf St, Tweed Heads NSW 2485"
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Friday,10:00am - 10:30am,Tweed Heads Civic and Cultural Centre,"Cnr Brett St and, Wharf St, Tweed Heads NSW 2485"
NSW,Tweed Shire Council,Story Time,books,"Story Time is suitable for children 3 years to school-age and their caregivers. These interactive sessions involve reading, singing, craft, and lots of library fun!",3 - 6 years,Wednesday,11:00am - 11:30am,Tweed Heads Civic and Cultural Centre,"Cnr Brett St and, Wharf St, Tweed Heads NSW 2485"
NSW,Tweed Shire Council,Discovery Time,pencil,"Join us for craft, activities and more! Best suited for school aged children.",6-99 years,Thursday,3:30pm - 4:30pm,Tweed Heads Civic and Cultural Centre,"Cnr Brett St and, Wharf St, Tweed Heads NSW 2485"
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Monday,10:00am - 10:30am,Kingcliff Library,"1 Turnock St, Kingscliff NSW 2487"
NSW,Tweed Shire Council,Crafternoons,pencil,"Get crafty at Crafternoons! An after-school program for children aged 6 years and older where we make, paint and create in the library.",6-99 years,Tuesday,3:30pm - 4:30pm,Kingcliff Library,"1 Turnock St, Kingscliff NSW 2487"
NSW,Tweed Shire Council,Story Time,books,"Story Time is suitable for children 3 years to school-age and their caregivers. These interactive sessions involve reading, singing, craft, and lots of library fun!",3 - 6 years,Thursday,11:00am - 11:30am,Kingcliff Library,"1 Turnock St, Kingscliff NSW 2487"
NSW,Tweed Shire Council,Story Dogs,books,"A chance to practice reading one on one with the Story Dog in a calm and motivating environment. If your child would like to read to our Story Dog regularly, book a block of sessions and watch your child's reading confidence soar.",6-99 years,Wednesday,3:30pm - 5:00pm,Kingcliff Library,"1 Turnock St, Kingscliff NSW 2487"
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Monday,11:00am - 11:30am,Lismore Library,"110 Magellan St, Lismore NSW 2480"
NSW,Tweed Shire Council,Story Time,books,"Story Time is suitable for children 3 years to school-age and their caregivers. These interactive sessions involve reading, singing, craft, and lots of library fun!",3 - 6 years,Wednesday,10:30am - 11:00am,Lismore Library,"110 Magellan St, Lismore NSW 2480"
NSW,Tweed Shire Council,Toddler Time,toddler_session,"Join us as we move, sing, wiggle, and read in this session designed for busy toddlers who are on-the-go! Meet other caregivers and toddlers, learn action rhymes and songs that help develop your child’s pre-literacy communication, language, concentration, and social skills.",2 - 3 years,Monday,10:00am - 10:30am,Lismore Library,"110 Magellan St, Lismore NSW 2480"
NSW,Tweed Shire Council,Baby Time,infant_session,"In a friendly and relaxed environment, you and your baby can learn nursery rhymes, action songs, and finger plays to share together. These fun sessions offer spoken communication support to children, and aid in the development of hearing awareness.",0 - 2 years,Friday,10:00am - 10:30am,Murwillumbah Civic and Cultural Centre,"10-14 Tumbulgum Rd, Murwillumbah NSW 2484"
NSW,Tweed Shire Council,Story Time,books,"Story Time is suitable for children 3 years to school-age and their caregivers. These interactive sessions involve reading, singing, craft, and lots of library fun!",3 - 6 years,Wednesday,11:00am - 11:30am,Murwillumbah Civic and Cultural Centre,"10-14 Tumbulgum Rd, Murwillumbah NSW 2484"
NSW,Wollongong City Council,Baby Beats,infant_session,"Songs, rhymes, rhythm, and music to support your new baby's developing listening and speaking skills.",0 - 1 years,Tuesday,10:00am - 10:30am,Corrimal Library,"15 Short Street, Corrimal NSW 2518"
NSW,Wollongong City Council,Baby Beats,infant_session,"Songs, rhymes, rhythm, and music to support your new baby's developing listening and speaking skills.",0 - 1 years,Thursday,10:30am - 11:00am,Warrawong Library,"Level 1, 67-71 King Street, Warrawong NSW 2502"
NSW,Wollongong City Council,Baby Beats,infant_session,"Songs, rhymes, rhythm, and music to support your new baby's developing listening and speaking skills.",0 - 1 years,Monday,10:00am - 10:30am,Wollongong Library,"41 Burelli Street, Wollongong NSW 2500"
NSW,Wollongong City Council,Baby Bookworms,infant_session,"Develop skills, techniques and behaviours to engage with your baby in a fun and interactive way.",0 - 1 years,Friday,10:00am - 10:30am,Corrimal Library,"15 Short Street, Corrimal NSW 2518"
NSW,Wollongong City Council,Baby Bookworms,infant_session,"Develop skills, techniques and behaviours to engage with your baby in a fun and interactive way.",0 - 1 years,Thursday,11:00am - 11:30am,Dapto Library,"93-109 Princes Highway, Dapto NSW 2530"
NSW,Wollongong City Council,Baby Bookworms,infant_session,"Develop skills, techniques and behaviours to engage with your baby in a fun and interactive way.",0 - 1 years,Wednesday,10:30am - 11:00am,Helensburgh Library,"57 Walker Street, Helensburgh NSW 2508"
NSW,Wollongong City Council,Baby Bookworms,infant_session,"Develop skills, techniques and behaviours to engage with your baby in a fun and interactive way.",0 - 1 years,Thursday,10:00am - 10:30am,Thirroul Library,"352-358 Lawrence Hargrave Drive, Thirroul NSW 2515"
NSW,Wollongong City Council,Drop in Duplo,lego,"Build a tower, count the blocks or engage in some imaginative play while developing fine motor skills.",3 - 5 years,Thursday,10:00am - 12:00pm,Thirroul Library,"352-358 Lawrence Hargrave Drive, Thirroul NSW 2515"
NSW,Wollongong City Council,Drop in Duplo,lego,"Build a tower, count the blocks or engage in some imaginative play while developing fine motor skills.",3 - 5 years,Friday,10:00am - 12:00pm,Warrawong Library,"Level 1, 67-71 King Street, Warrawong NSW 2502"
