name,start_time,end_time,day,location
Preschool Story Time,10:00,10:30,Monday,Casuarina Library
Baby Book Time,11:00,11:30,Monday,Darwin City Library
Rhyme Time,10:00,10:30,Tuesday,Karama Library
Toddler Time,10:00,10:30,Tuesday,Nightcliff Library
Baby Book Time,13:00,13:30,Wednesday,Darwin City Library
Toddler Time,10:00,10:30,Wednesday,Karama Library
STEAM Story Time,10:00,10:30,Thursday,Darwin City Library
Rhyme Time,10:00,10:30,Thursday,Karama Library
Family Story Time,10:00,10:30,Saturday,Casuarina Library
Family Story Time,10:00,10:30,Saturday,Darwin City Library
Preschool Storytime,10:15,10:45,Monday,Alice Springs Public Library
Music and Movement,10:15,10:45,Tuesday,Alice Springs Public Library
Baby Rhyme Time,10:15,10:45,Friday,Alice Springs Public Library
Toddler Rhyme Time,09:30,10:00,Tuesday,Katherine Public Library
Storytime,10:00,11:00,Wednesday,Katherine Public Library
Wriggle & Rhyme,10:30,11:00,Thursday,Katherine Public Library
Dungeons & Dragons,15:00,16:30,Friday,Katherine Public Library
Nurserytime,10:00,10:45,Wednesday,City of Palmerston Library
Frillies Club,13:00,15:00,Saturday,City of Palmerston Library
Gadgets and Games Club,13:00,15:00,Sunday,City of Palmerston Library
Lego Club,15:00,16:00,Sunday,City of Palmerston Library
Storytime,10:30,11:00,Thursday,Taminmin Library
Nurserytime,10:30,11:00,Wednesday,Taminmin Library
Litchfield Lego League,15:30,16:00,Wednesday,Taminmin Library
