State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Monday,9:30am - 10:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe QLD 4020",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe QLD 4020",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Thursday,9:30am - 10:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe QLD 4020",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Friday,9:30am - 10:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe QLD 4020",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Saturday,9:30am - 10:00am,Redcliffe Library,"476 Oxley Avenue, Redcliffe QLD 4020",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,9:30am - 10:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Saturday,9:30am - 10:00am,Arana Hills Library,"63 Cobbity Crescent, Arana Hills QLD 4054",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Monday,9:30am - 10:00am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,9:30am - 10:00am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Thursday,9:30am - 10:00am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Friday,9:30am - 10:00am,Caboolture Library,"4 Hasking Street, Caboolture QLD 4510",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Wednesday,9:30am - 10:00am,Deception Bay Library,"9 Bayview Terrace, Deception Bay QLD 4508",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Friday,9:30am - 10:00am,Deception Bay Library,"9 Bayview Terrace, Deception Bay QLD 4508",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Burpengary Library,"121 Station Road, Burpengary QLD 4505",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Thursday,9:30am - 10:00am,Burpengary Library,"121 Station Road, Burpengary QLD 4505",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Tuesday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Thursday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
QLD,Moreton Bay Council,Baby Rhyme Time,rhymetime,"Baby Rhyme Time helps develop the skills needed to communicate and to learn to read. In a friendly and relaxed environment you and your baby can learn rhymes, action songs and finger plays to share together. No bookings required.",0 - 2 years,Saturday,9:30am - 10:00am,Bribie Island Library,"1 Welsby Parade, Bongaree QLD 4507",
