State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address
SA,City of Norwood Payneham & St Peters,Storytime,books,"A special time to share in stories, activities, fun and laughter. Storytime sessions for pre-schoolers feature a range of books, songs, play and activities, ideal for developing early literacy skills in young children aged 2-5 years of age. All welcome, no need to book. Meet in the Library Children's area.",2 - 5 years,Monday,10:30am - 11:30am,St Peters Library,"101 Payneham Rd, St Peters SA 5069"
SA,City of Norwood Payneham & St Peters,Storytime,books,"A special time to share in stories, activities, fun and laughter. Storytime sessions for pre-schoolers feature a range of books, songs, play and activities, ideal for developing early literacy skills in young children aged 2-5 years of age. All welcome, no need to book. Meet in the Library Children's area.",2 - 5 years,Tuesday,10:30am - 11:30am,Payneham Library,"2 Turner St, Felixstow SA 5070"
SA,City of Norwood Payneham & St Peters,Baby Bounce,infant_session,"Baby Bounce is a fun and interactive session aimed at introducing babies and young children to libraries, action songs, nursery rhymes and rhythm. Suitable for parents, grandparents and people caring for children aged 0-2 years. Siblings are most welcome to attend. NOTE: this runs every second Thursday so check website for more details.",0 - 2 years,Thursday,10:30am - 11:30am,Payneham Library,"2 Turner St, Felixstow SA 5070"
SA,City of Norwood Payneham & St Peters,Baby Bounce,infant_session,"Baby Bounce is a fun and interactive session aimed at introducing babies and young children to libraries, action songs, nursery rhymes and rhythm. Suitable for parents, grandparents and people caring for children aged 0-2 years. Siblings are most welcome to attend.  NOTE: this runs every second Wednesday so check website for more details.",0 - 2 years,Wednesday,10:30am - 11:30am,St Peters Library,"101 Payneham Rd, St Peters SA 5069"
SA,City of Burnside,Baby Chat,infant_session,"Enjoy songs, rhymes and sharing books with your baby or toddler.",0 - 2 years,Thursday,10:30am - 11:00am,Burnside Library,"401, B26, Tusmore SA 5065"
SA,City of Burnside,Baby Chat,infant_session,"Enjoy songs, rhymes and sharing books with your baby or toddler.",0 - 2 years,Friday,10:30am - 11:00am,Burnside Library,"401, B26, Tusmore SA 5065"
SA,City of Burnside,Toddler Chat,toddler_session,"Join us for stories, rhymes, puppets and fun especially for toddlers 2-3 years (18 months+).",2 - 3 years,Friday,11:30am - 12:00pm,Burnside Library,"401, B26, Tusmore SA 5065"
SA,City of Burnside,Storytime for Preschoolers,books,"Join us for stories, songs and a simple craft.",3 - 5 years,Tuesday,10:30am - 11:00am,Burnside Library,"401, B26, Tusmore SA 5065"
SA,City of Burnside,Storytime for Preschoolers,books,"Join us for stories, songs and a simple craft.",3 - 5 years,Wednesday,10:30am - 11:00am,Burnside Library,"401, B26, Tusmore SA 5065"
SA,City of Unley,Wiggletime,rhymetime,"Wriggletime is designed to keep busy toddlers moving while listening and learning sounds, rhythms, and rhymes of language. These fun sessions also include interactive play with beanbags, scarves and shakers.  NOTE: this runs every second Friday so check website for more details.",1 - 3 years,Friday,10:30am - 11:00am,Unley Town Hall,"Oxford Terrace, Unley SA 5061"
SA,City of Unley,Wiggletime,rhymetime,"Wriggletime is designed to keep busy toddlers moving while listening and learning sounds, rhythms, and rhymes of language. These fun sessions also include interactive play with beanbags, scarves and shakers.  NOTE: this runs every second Friday so check website for more details.",1 - 3 years,Friday,10:30am - 11:00am,Goodwood Community Centre,"32/34 Rosa St, Goodwood SA 5034"
SA,City of Unley,Babytime,infant_session,"Every Friday morning during school term, alternating between Unley and Goodwood, we offer our Babytime program aimed specifically at 0-2 year olds. Sit your child on your lap and enjoy 30 minutes of songs, rhymes, finger plays and stories.",0 - 2 years,Friday,11:30am - 12:00pm,Goodwood Community Centre,"32/34 Rosa St, Goodwood SA 5034"
SA,City of Unley,Babytime,infant_session,"Every Friday morning during school term, alternating between Unley and Goodwood, we offer our Babytime program aimed specifically at 0-2 year olds. Sit your child on your lap and enjoy 30 minutes of songs, rhymes, finger plays and stories.",0 - 2 years,Friday,11:30am - 12:00pm,Unley Town Hall,"Oxford Terrace, Unley SA 5061"
SA,City of Unley,Storytime,books,"Our Storytime program is designed to extend your child’s early literacy experience. The group setting is an opportunity to engage with other parents and children, and a great introduction to classroom learning. Stay after the storytelling for an educational activity such as music, movement, games or craft. Older/younger siblings are always welcome.",0 - 5 years,Tuesday,10:30am - 11:50am,Unley Town Hall,"Oxford Terrace, Unley SA 5061"
SA,City of Unley,Storytime,books,"Our Storytime program is designed to extend your child’s early literacy experience. The group setting is an opportunity to engage with other parents and children, and a great introduction to classroom learning. Stay after the storytelling for an educational activity such as music, movement, games or craft. Older/younger siblings are always welcome.",0 - 5 years,Thursday,10:30am - 11:30am,Goodwood Library,"101 Goodwood Rd, Goodwood SA 5034"
SA,City of Unley,Baby Connect,infant_session,"Baby Connect morning tea catchup is once a month at 12 noon in the Unley Town Hall following on from our Babytime early literacy program. If you have recently moved into our community and are looking to make new connections and find support, this is a great opportunity to meet other parents and carers of babies 0-2 years.  NOTE: this runs once a month, check website for info.",0 - 2 years,Friday,12:00pm - 12:30pm,Unley Town Hall,"Oxford Terrace, Unley SA 5061"
SA,City of Unley,Connect and Play,blocks,"Tools to help you connect and play with your child. Connect and Play is a series of free play based sessions for parents/caregivers and children 0-3 years to connect and explore a range of developmentally appropriate play experiences. Each session will focus on a particular developmental skill and promote talking, playing, reading and singing.  NOTE: this runs once a month, check website for info.",0 - 3 years,Wednesdsay,10:30am - 12:30pm,Clarence Park Community Centre,"72/74 East Ave, Black Forest SA 5035"
SA,City of Unley,Wiggletime,rhymetime,"An active Storytime for your wriggly little person! Join us for stories, songs and movement and a take home craft!  NOTE: this runs once a month, check website for info.",1 - 5 years,Wednesdsay,10:30am - 11:15am,Clarence Park Community Centre,"72/74 East Ave, Black Forest SA 5035"
SA,City of West Torrens,Baby Time,infant_session,"Perfect for children from birth to 18 months. These sessions include songs, rhymes and stories for children and their caregivers. You can choose to bring your own shaker, scarf and a comfortable mat for you and your child (e.g. yoga mat).",0 - 1.5 years,Tuesday,10:30am - 11:00am,Hamra Centre Library,"1 Brooker Terrace, Hilton SA 5033"
