name,start_time,end_time,day,location
Storytime,10:30,11:30,Monday,St Peters Library
Storytime,10:30,11:30,Tuesday,Payneham Library
Baby Bounce,10:30,11:30,Thursday,Payneham Library
Baby Bounce,10:30,11:30,Wednesday,St Peters Library
Baby Chat,10:30,11:00,Thursday,Burnside Library
Baby Chat,10:30,11:00,Friday,Burnside Library
Toddler Chat,11:30,12:00,Friday,Burnside Library
Storytime for Preschoolers,10:30,11:00,Tuesday,Burnside Library
Storytime for Preschoolers,10:30,11:00,Wednesday,Burnside Library
Wiggletime,10:30,11:00,Friday,Unley Town Hall
Wiggletime,10:30,11:00,Friday,Goodwood Community Centre
Babytime,11:30,12:00,Friday,Goodwood Community Centre
Babytime,11:30,12:00,Friday,Unley Town Hall
Storytime,10:30,11:50,Tuesday,Unley Town Hall
Storytime,10:30,11:30,Thursday,Goodwood Library
Baby Connect,12:00,12:30,Friday,Unley Town Hall
Connect and Play,10:30,12:30,Wednesdsay,Clarence Park Community Centre
Wiggletime,10:30,11:15,Wednesdsay,Clarence Park Community Centre
Baby Time,10:30,11:00,Tuesday,Hamra Centre Library
Baby Time,10:30,11:00,Thursday,Hamra Centre Library
Toddler Time,11:15,11:45,Tuesday,Hamra Centre Library
Toddler Time,11:15,11:45,Thursday,Hamra Centre Library
Story Time,10:30,11:30,Wednesday,Hamra Centre Library
Story Time,10:30,11:30,Friday,Hamra Centre Library
Baby Bounce,09:30,10:00,Tuesday,Cove Civic Centre
Baby Bounce,09:30,10:00,Wednesday,Park Holme Library
Baby Bounce,09:30,10:00,Thursday,Marion Cultural Centre
Toddler Time,10:15,10:45,Tuesday,Cove Civic Centre
Toddler Time,09:30,10:00,Thursday,Park Holme Library
Storytelling,11:00,11:30,Tuesday,Cove Civic Centre
Storytelling,10:30,11:00,Wednesday,Park Holme Library
Storytelling,10:30,11:00,Thursday,Marion Cultural Centre
Baby Time,10:00,10:30,Monday,Ngutungka West Lakes 
Baby Time,10:00,10:30,Tuesday,Civic Library
Baby Time,11:00,11:30,Thursday,Civic Library
Baby Time,11:00,11:30,Wednesday,Findon Library
Baby Time,10:00,10:30,Friday,Ngutungka Henley 
Toddler Time,11:00,11:30,Monday,Ngutungka West Lakes 
Toddler Time,11:00,11:30,Tuesday,Civic Library
Toddler Time,11:00,11:30,Friday,Ngutungka Henley 
Story Time,10:00,10:45,Tuesday,Ngutungka West Lakes 
Story Time,10:00,10:45,Friday,Findon Library
Mini Movers,10:00,10:30,Wednesday,Findon Library
Mini Movers,10:00,10:30,Thursday,Hindmarsh Library
Baby Bounce,10:30,11:00,Thursday,Enfield Library
Toddler Time,10:30,11:00,Thursday,Parks Library
Storytime,10:30,11:00,Thursday,Semaphore Library
Storytime,10:30,11:00,Friday,Greenacres Library
Active Storytime,10:30,11:00,Friday,The Lights Community and Sports Centre
Storytime,10:30,11:00,Sunday,Parks Library
Storytime,10:30,11:00,Monday,Port Adelaide Library
Toddler Time,10:30,11:00,Tuesday,Greenacres Library
Storytime,10:30,11:00,Wednesday,Enfield Library
Babytime,10:00,10:30,Friday,Aldinga Library
Babytime,10:00,10:30,Thursday,Hub Library
Babytime,10:00,10:30,Tuesday,Seaford Library
Babytime,10:00,10:30,Wednesday,Noarlunga Library
Babytime,10:00,10:30,Thursday,Willunga Library
Babytime,14:00,14:30,Wednesday,Woodcroft Library
Toddlertime,10:00,10:30,Monday,Aldinga Library
Toddlertime,10:00,10:30,Friday,Hub Library
Toddlertime,10:00,10:30,Thursday,Noarlunga Library
Toddlertime,10:30,11:00,Monday,Seaford Library
Toddlertime,10:00,10:30,Tuesday,Willunga Library
Toddlertime,11:00,11:30,Tuesday,Willunga Library
Toddlertime,10:00,10:30,Tuesday,Woodcroft Library
Storytime,10:00,10:30,Monday,Aldinga Library
Storytime,10:00,10:30,Wednesday,Hub Library
Storytime,10:00,10:30,Friday,Noarlunga Library
Storytime,10:30,11:00,Wednesday,Seaford Library
Storytime,10:00,10:30,Tuesday,Willunga Library
Storytime,11:00,11:30,Tuesday,Willunga Library
Words Grow Minds,10:00,10:30,Thursday,Woodcroft Library
Baby Bounce,10:00,10:30,Tuesday,Tea Tree Gully Library
Baby Bounce,10:00,10:30,Wednesday,Tea Tree Gully Library
Baby Bounce,10:00,10:30,Friday,Tea Tree Gully Library
Baby Bounce,10:00,10:30,Thursday,Tea Tree Gully Library
Mini Movers,10:30,11:00,Wednesday,Tea Tree Gully Library
Mini Movers,10:30,11:00,Thursday,Tea Tree Gully Library
Mini Movers,10:30,11:00,Friday,Tea Tree Gully Library
Mini Movers,10:30,11:00,Tuesday,Tea Tree Gully Library
Mini Movers,10:30,11:00,Wednesday,Tea Tree Gully Library
Little Learners Playgroup,10:00,11:30,Friday,Surrey Downs Community Centre
Saturday Lego Club,11:00,13:00,Saturday,Tea Tree Gully Library
Nature Tales and Tunes,10:00,10:30,Monday,Harpers Field Community Building
Free Play Monday for Babies and Toddlers,10:00,11:30,Monday,Tea Tree Gully Library
Story Time,10:00,10:30,Wednesday,Salisbury Community Hub
Story Time,10:00,10:30,Wednesday,Ingle Farm Library
Story Time,10:00,10:30,Thursday,Mawson Lakes Library
Story Time,10:30,11:00,Thursday,Burton Community Hub
Story Time,10:00,10:45,Friday,Para Hills Community Hub
Giggle Time,10:00,10:30,Monday,Mawson Lakes Library
Giggle Time,10:00,10:30,Monday,Salisbury Community Hub
Giggle Time,10:00,10:45,Thursday,Para Hills Community Hub
Nature Play - Stories in the Garden,10:00,12:00,Thursday,Para Hills Community Hub
"Read, Play, Learn!",10:00,10:30,Tuesday,Burton Community Hub
Book Bugs,09:30,10:30,Monday,Playford Civic Centre Library
Book Bugs,10:30,11:30,Monday,Playford Civic Centre Library
Book Bugs,09:30,10:30,Tuesday,Stretton Centre Library
Book Bugs,09:30,10:30,Tuesday,Stretton Centre Library
Tree Tots Storytime in the Garden,10:30,11:30,Thursday,The Precinct Garden
Wriggle n’ Rhyme,09:15,09:45,Thursday,Brighton Library
Toddler Time,10:00,10:30,Thursday,Brighton Library
Wriggle n’ Rhyme,09:15,09:45,Friday,Brighton Library
Toddler Time,10:00,10:30,Friday,Brighton Library
Wriggle n’ Rhyme,09:15,09:45,Tuesday,Glenelg Library
Toddler Time,10:00,10:30,Tuesday,Glenelg Library
Stay 'N' Play,10:00,12:00,Saturday,Brighton Library
Rock 'n' Read,10:00,10:30,Monday,Glenelg Library
Babytime,10:00,10:30,Wednesday,Mitcham Memorial Library
Little Movers,11:00,11:30,Wednesday,Blackwood Library at Tiwu Kumangka
Babytime,10:00,10:30,Thursday,Blackwood Library at Tiwu Kumangka
Storytime,10:00,10:30,Monday,Mitcham Memorial Library
Storytime,10:00,10:30,Tuesday,Blackwood Library at Tiwu Kumangka
Little Movers,11:00,11:30,Tuesday,Mitcham Memorial Library
Something @ City Library,14:00,16:00,Saturday,City Library
Family Storytime,10:30,11:15,Tuesday,Hutt Street Library
Family Storytime,10:30,11:15,Saturday,Hutt Street Library
Family Storytime,10:30,11:15,Wednesday,North Adelaide Library
Family Storytime,10:30,11:15,Thursday,City Library
LEGO Club,14:00,16:00,Sunday,City Library
LEGO Club,15:30,16:30,Wednesday,Hutt Street Library
