name,start_time,end_time,day,location
Baby Rhyme Time,10:30,11:00,Thursday,Brighton Library
Baby Rhyme Time,10:30,11:00,Tuesday,Beaumaris Library
Baby Rhyme Time,10:30,11:00,Friday,Sandringham Library
Toddler Time,10:30,11:00,Tuesday,Brighton Library
Toddler Time,10:30,11:00,Friday,Beaumaris Library
Toddler Time,10:30,11:00,Wednesday,Sandringham Library
Toddler Time,14:00,14:30,Monday,Hampton Library
Preschool Storytime,10:30,11:00,Friday,Brighton Library
Preschool Storytime,10:30,11:00,Thursday,Beaumaris Library
Preschool Storytime,10:30,11:00,Tuesday,Sandringham Library
Rhymetime,10:30,11:00,Monday,Malvern Library
Rhymetime,10:30,11:00,Tuesday,Phoenix Park Library
Rhymetime,10:30,11:00,Friday,Toorak/South Yarra Library
Stories and songs,10:30,11:00,Monday,Grattan Gardens Community Centre
Stories and songs,10:30,11:00,Wednesday,Grattan Gardens Community Centre
Stories and songs,10:30,11:00,Saturday,Phoenix Park Library
Stories and songs,10:30,11:00,Monday,Prahran Square Library
Stories and songs,10:30,11:00,Wednesday,Prahran Square Library
Storytime,10:30,11:00,Thursday,Phoenix Park Library
Storytime,10:30,11:00,Tuesday,Malvern Library
Storytime,10:30,11:00,Wednesday,Toorak/South Yarra Library
Baby Rhyme Time,10:00,10:30,Friday,St Kilda Library
Baby Rhyme Time,10:30,11:00,Monday,Emerald Hill Library 
Tiny Tots Storytime,10:00,10:30,Monday,Albert Park Library 
Tiny Tots Storytime,11:00,11:30,Monday,Albert Park Library 
Tiny Tots Storytime,11:00,11:30,Friday,Emerald Hill Library 
Tiny Tots Storytime,11:00,11:30,Wednesday,Port Melbourne Library 
Tiny Tots Storytime,11:00,11:30,Wednesday,St Kilda Library
Tiny Tots Storytime,11:00,11:30,Friday,St Kilda Library
Preschool Storytime,11:00,11:30,Tuesday,Albert Park Library 
Preschool Storytime,11:00,11:30,Tuesday,St Kilda Library
Babytime,14:00,14:30,Wednesday,North Fitzroy Library
Babytime,10:00,10:30,Thursday,North Fitzroy Library
Babytime,11:30,12:00,Wednesday,Carlton Library
Babytime,11:30,12:00,Tuesday,Fitzroy Library
Babytime,11:30,12:00,Thursday,Richmond Library
Babytime,11:30,12:00,Friday,Richmond Library
Babytime,11:30,12:00,Monday,Collingwood Library
Rhymetime,10:00,10:30,Monday,North Fitzroy Library
Rhymetime,10:00,10:30,Tuesday,Richmond Library
Rhymetime,10:00,10:30,Wednesday,Collingwood Library
Rhymetime,10:00,10:30,Thursday,Fitzroy Library
Rhymetime,10:00,10:30,Friday,Carlton Library
