State,Council,Icon,What's On?,Suitible for,Short description,Where?,Address,Day,Time
VIC,Mornington,books,Preschool Storytime,4-5 years,"A 45-minute session featuring songs, rhymes, books, and a craft activity to develop language, imagination, and concentration.",Hastings Library,"7 High Street, Hastings VIC 3915",Thursday,11:00 am – 11:45 am
VIC,Mornington,books,Preschool Storytime,4-5 years,"A 45-minute session featuring songs, rhymes, books, and a craft activity to develop language, imagination, and concentration.",Mornington Library,"320 Main Street, Mornington VIC 3931",Wednesday,11:00 am – 11:45 am
VIC,Mornington,books,Preschool Storytime,4-5 years,"A 45-minute session featuring songs, rhymes, books, and a craft activity to develop language, imagination, and concentration.",Rosebud Library,"29 Boneo Road, Rosebud VIC 3939",Thursday,11:00 am – 11:45 am
VIC,Mornington,books,Preschool Storytime,4-5 years,"A 45-minute session featuring songs, rhymes, books, and a craft activity to develop language, imagination, and concentration.",Somerville Library,"1085 Frankston-Flinders Road, Somerville VIC 3912",Wednesday,11:00 am – 11:45 am
VIC,Mornington,sensory,Sensitive Storytime,4-7 years,"A 30-minute session with stories, songs, movement, and bubbles in small groups to help keep children attentive in a relaxed environment.",Hastings Library,"7 High Street, Hastings VIC 3915",Tuesday,11:00 am – 11:30 am
VIC,Mornington,sensory,Sensitive Storytime,4-7 years,"A 30-minute session with stories, songs, movement, and bubbles in small groups to help keep children attentive in a relaxed environment.",Mornington Library,"320 Main Street, Mornington VIC 3931",Tuesday,11:00 am – 11:30 am
VIC,Mornington,sensory,Sensitive Storytime,4-7 years,"A 30-minute session with stories, songs, movement, and bubbles in small groups to help keep children attentive in a relaxed environment.",Rosebud Library,"29 Boneo Road, Rosebud VIC 3939",Tuesday,11:00 am – 11:30 am
VIC,Mornington,sensory,Sensitive Storytime,4-7 years,"A 30-minute session with stories, songs, movement, and bubbles in small groups to help keep children attentive in a relaxed environment.",Somerville Library,"1085 Frankston-Flinders Road, Somerville VIC 3912",Tuesday,11:00 am – 11:30 am
VIC,Mornington,infant_session,Baby Rhymetime,0 - 1.5 years,A 30-minute session featuring soothing songs and rhymes to introduce babies to language and promote early literacy skills.,Hastings Library,"7 High Street, Hastings VIC 3915",Monday,10:00 am – 10:30 am
VIC,Mornington,infant_session,Baby Rhymetime,0 - 1.5 years,A 30-minute session featuring soothing songs and rhymes to introduce babies to language and promote early literacy skills.,Mornington Library,"320 Main Street, Mornington VIC 3931",Monday,10:00 am – 10:30 am
VIC,Mornington,infant_session,Baby Rhymetime,0 - 1.5 years,A 30-minute session featuring soothing songs and rhymes to introduce babies to language and promote early literacy skills.,Rosebud Library,"29 Boneo Road, Rosebud VIC 3939",Monday,10:00 am – 10:30 am
VIC,Mornington,infant_session,Baby Rhymetime,0 - 1.5 years,A 30-minute session featuring soothing songs and rhymes to introduce babies to language and promote early literacy skills.,Somerville Library,"1085 Frankston-Flinders Road, Somerville VIC 3912",Monday,10:00 am – 10:30 am
VIC,Mornington,toddler_session,Toddler Rhymetime,1-2 years,"Active songs, rhymes, and play to develop early literacy, social, and motor skills. Fun and energetic activities to engage toddlers.",Hastings Library,"7 High Street, Hastings VIC 3915",Monday,11:00 am – 11:30 am
VIC,Mornington,toddler_session,Toddler Rhymetime,1-2 years,"Active songs, rhymes, and play to develop early literacy, social, and motor skills. Fun and energetic activities to engage toddlers.",Mornington Library,"320 Main Street, Mornington VIC 3931",Monday,11:00 am – 11:30 am
VIC,Mornington,toddler_session,Toddler Rhymetime,1-2 years,"Active songs, rhymes, and play to develop early literacy, social, and motor skills. Fun and energetic activities to engage toddlers.",Rosebud Library,"29 Boneo Road, Rosebud VIC 3939",Monday,11:00 am – 11:30 am
VIC,Mornington,toddler_session,Toddler Rhymetime,1-2 years,"Active songs, rhymes, and play to develop early literacy, social, and motor skills. Fun and energetic activities to engage toddlers.",Somerville Library,"1085 Frankston-Flinders Road, Somerville VIC 3912",Monday,11:00 am – 11:30 am
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Chelsea Library,"1/151-157 Thames Promenade, Chelsea VIC 3196",Monday,11:30 am – 12:00 pm
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Parkdale Library,"10-12 Parkdale Drive, Parkdale VIC 3195",Tuesday,11:30 am – 12:00 pm
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Clarinda Library,"58-60 Viney Street, Clarinda VIC 3169",Wednesday,11:30 am – 12:00 pm
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Dingley Village Library,"31-33 Marcus Road, Dingley Village VIC 3172",Thursday,11:30 am – 12:00 pm
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Cheltenham Library,"12-14 Chesterville Road, Cheltenham VIC 3192",Friday,11:30 am – 12:00 pm
VIC,City of Kingston,toddler_session,Toddler Time,1-2 years,"An energetic session with songs, rhymes, and movement to help develop early literacy, social, and motor skills for toddlers.",Patterson Lakes Library,"60-62 Thompson Road, Patterson Lakes VIC 3197",Friday,11:30 am – 12:00 pm
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Chelsea Library,"1/151-157 Thames Promenade, Chelsea VIC 3196",Monday,11:00 am – 11:30 am
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Parkdale Library,"10-12 Parkdale Drive, Parkdale VIC 3195",Tuesday,11:00 am – 11:30 am
VIC,City of Kingston,books,Preschool Storytime,3-5 years,"A lively and fun session with stories, songs, and rhymes designed to foster early literacy skills and creativity.",Clarinda Library,"58-60 Viney Street, Clarinda VIC 3169",Wednesday,11:00 am – 11:30 am
