name,start_time,end_time,day,location
Baby Play,09:30,12:00,Monday,Huntingdale Community Centre
Rhyme Time,09:30,10:00,Wednesday,South Perth Library
Rhymetime,09:30,10:00,Monday,High Wycombe Library
Rhymetime,09:30,10:00,Wednesday,Kalamunda Library
Rhymetime,09:30,10:00,Thursday,Forrestfield Library
Baby Rhyme Time,09:30,10:00,Friday,Piara Waters Library
Baby Rhyme Time,09:30,10:00,Friday,Armadale Library
Baby Rhyme Time,09:30,10:00,Friday,Kelmscott Library
Bubs at the Hub,09:30,10:30,Monday,Ruth Faulkner Library
Bubs at the Hub,10:30,11:30,Wednesday,Ruth Faulkner Library
Baby Rhyme Time,09:30,10:00,Thursday,A.H. Bracks Library
Baby Rhyme Time,09:30,10:00,Thursday,Bull Creek Library
Baby Rhyme Time,09:30,10:00,Monday,Canning Bridge Library
Baby Rhyme Time,09:30,10:00,Friday,Civic Square Library
Baby Rhyme Time,10:30,11:00,Friday,Civic Square Library
Baby Rhyme Time,09:30,10:00,Tuesday,Willagee Library
Baby Rhyme Time,10:30,11:00,Tuesday,Mundaring Library
Baby Rhyme Time,10:30,11:00,Thursday,Mundaring Library
Baby Rhyme Time,10:30,11:00,Wednesday,Boya Library
Baby Rhyme Time,10:30,11:00,Friday,Boya Library
Rhymetime,10:30,11:00,Tuesday,Falcon Library
Rhymetime,10:00,10:30,Wednesday,Mandurah Library
Baby Rhymetime,09:30,10:00,Thursday,Lakelands Library
Rhyme Time,11:00,11:30,Tuesday,Rockingham Central Library
Rhyme Time,09:30,10:00,Wednesday,Safety Bay Library
Rhyme Time,09:30,10:00,Thursday,Warnbro Community Library
Story Time,10:30,11:00,Tuesday,Armadale Library
Story Time,10:30,11:00,Monday,Kelmscott Library
Storytime,10:30,11:30,Tuesday,Ruth Faulkner Library
Storytime,10:30,11:30,Saturday,Ruth Faulkner Library
Hilton Creatives Club,15:30,16:30,Tuesday,Fremantle PCYC
Rhymetime,10:30,11:00,Wednesday,Albany Regional Library – Family & Children’s Area
Rhymetime,10:30,11:00,Friday,Albany Regional Library – Family & Children’s Area
Rhyme Time,10:30,11:00,Wednesday,Bunbury Public Library
Rhymetime,09:00,09:30,Monday,Maylands Library
Rhymetime,09:45,10:15,Tuesday,Morley Library
Rhymetime,09:45,10:15,Thursday,Maylands Library
Rhymetime,09:45,10:15,Friday,Bayswater Library
Rhymes,14:00,14:30,Tuesday,Cannington Library
Rhymes,09:30,10:00,Wednesday,Riverton Library
Rhymes,10:00,10:30,Tuesday,Willetton Library
Rhymetime,09:30,10:00,Tuesday,Fremantle Library
Baby Rhymetime,10:30,11:00,Thursday,Dianella Library
Baby Rhymetime,10:30,11:00,Friday,Dianella Library
Baby Rhymetime,10:30,11:00,Tuesday,Inglewood Library
Baby Rhymetime,10:30,11:00,Wednesday,Inglewood Library
Baby Rhymetime,10:30,11:00,Wednesday,Karrinyup Library
Baby Rhymetime,10:30,11:00,Friday,Karrinyup Library
Baby Rhymetime,10:30,11:00,Wednesday,Mirrabooka Library
Baby Rhymetime,10:30,11:00,Monday,Osborne Library
Baby Rhymetime,14:30,15:00,Monday,Osborne Library
Baby Rhymetime,10:30,11:00,Tuesday,Scarborough Library
Baby Rhymetime,10:30,11:00,Thursday,Scarborough Library
Baby Rhymetime,10:00,10:30,Monday,Subiaco Library
Baby Rhymetime,10:00,10:30,Wednesday,Subiaco Library
It's All About Rhymes,10:30,11:00,Wednesday,Clarkson Library
It's All About Rhymes,10:30,11:00,Friday,Clarkson Library
It's All About Rhymes,10:30,11:00,Thursday,Girrawheen Library
It's All About Rhymes,10:30,11:00,Wednesday,Wanneroo Library
It's All About Rhymes,10:30,11:00,Wednesday,Yanchep Library
Baby Bounce,10:30,11:00,Monday,Busselton Library
Baby Bounce,10:30,11:00,Thursday,Dunsborough Library
Baby Rhyme Time,14:00,14:30,Monday,Margaret River Library
Buster Wednesdays,09:30,11:30,Wednesday,Fremantle Arts Centre
Storytime,09:30,10:30,Thursday,Fremantle Library
Buster Fridays,09:30,11:30,Friday,Fremantle PCYC
Saturday Songs and Stories,10:00,10:30,Saturday,Dianella Library
Saturday Songs and Stories,10:00,10:30,Saturday,Inglewood Library
Saturday Songs and Stories,10:00,10:30,Saturday,Karrinyup Library
Saturday Songs and Stories,10:00,10:30,Saturday,Mirrabooka Library
Saturday Songs and Stories,10:00,10:30,Saturday,Osborne Library
Saturday Songs and Stories,10:00,10:30,Saturday,Scarborough Library
Saturday Songs and Stories,10:00,10:30,Saturday,Osborne Library
Saturday Songs and Stories,10:00,10:30,Saturday,Scarborough Library
It's All About Play,09:00,11:00,Monday,Yanchep Library
It's All About Play,09:00,11:00,Monday,Clarkson Library
It's All About Play,09:00,11:00,Friday,Wanneroo Library
It's All About Play,09:00,11:00,Monday,Girrawheen Library
Child Health Nurse Drop-In,09:30,11:00,Monday,Clarkson Library
Child Health Nurse Drop-In,09:00,10:30,Wednesday,Yanchep Library
Storytime,09:30,10:00,Monday,Mandurah Library
Storytime,09:30,10:00,Tuesday,Lakelands Library
