name,start_time,end_time,day,location
Rhyme Time,09:45,10:15,Tuesday,Nedlands Library
Music Time,10:30,11:00,Tuesday,Nedlands Library
Story Time,10:30,11:30,Thursday,Mt Claremont Library
Baby Rhyme Time,10:30,11:00,Tuesday,Cambridge Library
Story Time,10:30,11:15,Wednesday,Cambridge Library
LEGO Club,10:00,11:00,Saturday,Cambridge Library
Baby Rhyme Time,10:00,10:20,Monday,Vincent Library
Baby Rhyme Time,10:00,10:20,Thursday,Vincent Library
Story Time,10:45,11:15,Monday,Vincent Library
Story Time,10:45,11:15,Thursday,Vincent Library
Baby Rhyme Time,09:30,10:00,Monday,The Grove Library
Baby Rhyme Time,10:30,11:00,Monday,The Grove Library
Baby Rhyme Time,09:30,10:00,Thursday,The Grove Library
Baby Rhyme Time,10:30,11:00,Thursday,The Grove Library
Story Time,10:30,11:00,Tuesday,The Grove Library
Story Time,10:30,11:00,Friday,The Grove Library
Baby Rhyme Time,09:30,10:30,Monday,Bay View Community Centre
Story Time,09:30,10:30,Tuesday,Bay View Community Centre
Board Game Club,15:30,16:15,Tuesday,Bay View Community Centre
Crafternooners,15:30,16:15,Thursday,Bay View Community Centre
LEGO Club,15:30,16:15,Friday,Bay View Community Centre
Storytime,10:30,11:00,Tuesday,Victoria Park Library
Storytime,10:30,11:00,Friday,Victoria Park Library
Baby Rhymetime,09:30,10:00,Friday,Victoria Park Library
Baby Rhymetime,10:30,11:00,Friday,Victoria Park Library
LEGO Challenge Free Play,16:00,17:00,Friday,Victoria Park Library
