State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Waverley,Story Time,teddy_book,"Story Time Fun will capture the imaginations of toddlers and pre-schoolers with stories, rhymes and craft.",3 - 5 years,Thursday,11:00am - 11:30am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT (Australian Eastern Daylight Time),Not available in school holidays or public holidays
NSW,Waverley,Book Babies,teddy_book,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Monday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Book Babies,teddy_book,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Tuesday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Book Babies,teddy_book,Book Babies introduces your babes in arms to the magic and joy of stories and rhymes.,0 - 2 years,Thursday,9:30am - 10:00am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Story Time,teddy_book,"Story Time Fun will capture the imaginations of toddlers and pre-schoolers with stories, rhymes and craft.",3 - 5 years,Monday,11:00am - 11:30am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Story Time,teddy_book,"Story Time Fun will capture the imaginations of toddlers and pre-schoolers with stories, rhymes and craft.",3 - 5 years,Tuesday,11:00am - 11:30am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Rocking Rhyme Time,baby,"Rocking Rhyme Time is a high energy morning of dancing, music, rhymes and stories.",2 - 4 years,Monday,10:15am - 10:45am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Rocking Rhyme Time,baby,"Rocking Rhyme Time is a high energy morning of dancing, music, rhymes and stories.",2 - 4 years,Tuesday,10:15am - 10:45am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,Waverley,Rocking Rhyme Time,baby,"Rocking Rhyme Time is a high energy morning of dancing, music, rhymes and stories.",2 - 4 years,Thursday,10:15am - 10:45am,Waverley Library,"32-48 Denison St, Bondi Junction NSW 2022",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Storytime,teddy_book,"Bilingual Storytime is a fun interactive session of storytelling for 3 to 5 year olds and their carers. Stories, songs and rhymes spoken in English and Mandarin support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange.",3 - 5 years,Monday,11:30am - 12:00pm,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,"This is a free 30 minute fun and animated story telling targeted to a younger audience 1 to 5 years old but older children are welcome to join in. Space is limited, booking is essential",1 - 5 years ,Monday,10:30am - 11:00am,Maybanke Community Centre,"87-89 Harris Street, Pyrmont NSW 2009",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Rhyme Time,baby,"Bilingual rhymetime is a fun interactive session for 0 to 2 year olds and their carers. Songs and rhymes sung in Mandarin and English support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange. Join our 20 minutes sessions, spending time together enjoying fingerplay and singing songs.",0 - 2 years,Monday,10:30am - 10:50am,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5 year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Tuesday,11:30am - 12:00pm,Darling Square Library,"Levels 1 and 2, The Exchange, 1 Little Pier Street, Haymarket NSW 2000",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Rhyme Time,baby,"Bilingual rhymetime is a fun interactive session for 0 to 2 year olds and their carers. Songs and rhymes sung in Mandarin and English support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange.",0 - 2 years,Wednesday,10:30am - 10:50am,Darling Square Library,"Levels 1 and 2, The Exchange, 1 Little Pier Street, Haymarket NSW 2000",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,baby,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Wednesday,10:30am - 10:50am,Surry Hills Neighbourhood Centre,"405 Crown Street, Surry Hills NSW 2010",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhythm n Bubs,baby,"This weekly experience is led by a team of passionate music educators from Mini Musica, Angie Who and the team at Cheeky Tunes, showcasing a range of musical performances inclusive to all. Explore the world of sound through playful activities, catchy tunes, and rhythmic adventures. From sing-alongs that spark imagination to hands-on percussion play, every session is crafted to inspire a love for music",1 - 5 years,Wednesday 2 October to Wednesday 26 March 2025,10:30am - 11:15am,Darling Quarter,"1-11 Harbour St, Sydney NSW 2000 Playground Lawn (behind the Children's Playground), Darling Quarter. Wet weather: ARA Darling Quarter Theatre",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5 year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Wednesday,11:30am - 12:00pm,Surry Hills Neighbourhood Centre,"405 Crown Street, Surry Hills NSW 2010",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Bilingual Story Time,teddy_book,"Bilingual Storytime is a fun interactive session of storytelling for 3 to 5 year olds and their carers. Stories, songs and rhymes spoken in English and Mandarin support early literacy development, nurture Mandarin knowledge and provide a wonderful cultural exchange.",3 - 5 years,Wednesday,11:30am - 12:00pm,Darling Square Library,"Levels 1 and 2, The Exchange, 1 Little Pier Street, Haymarket NSW 2000",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,baby,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,10:30am - 10:50am,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Thursday,11:30am - 12:00pm,Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Rhyme Time,baby,Rhymetime is a fun interactive session of singing and rhymes for 0-2 years. The program fosters a love of reading and helps develop important early literacy skills and social interaction.,0 - 2 years,Thursday,"10:15am - 10:35am
11:00am - 11:20am",Green Square Library,"355 Botany Road, Zetland NSW 2017",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Story Time,teddy_book,Storytime is a fun interactive session of storytelling for 3-5year olds and their carers. The program fosters a love of reading and helps develop important early literacy skills and social interaction in readiness for school.,3 - 5 years,Thursday,11:30am - 12:00pm,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Balance Bike Clinics,?,"Kids start on balance bikes and once confident, can move onto pedal bikes. This is an interactive class designed to get parents involved in their children’s learning. Suitable for children aged 3 to 8 years. Bikes and helmets are provided, or you can bring your own. No bookings required.",3 - 8 years,Saturday,9:00am - 11:00am,Sydney Park Cycling Centre,"410-416 Sydney Park Road, Alexandria NSW 2015",AEDT,Not available in school holidays or public holidays
NSW,City of Sydney,Auslan and English Story Time,teddy_book,"Join our storytime in Auslan and English, presented by our library team and Deaf Connect at Glebe Library. Storytime is a fun session of storytelling for preschoolers. The program fosters an early love of reading and helps develop literacy skills and social interaction in readiness for school. This session is suitable for deaf and hearing children, ages 3 to 5 years.",3 - 5 years,Saturday,11:30am - 12:00pm,Glebe Library,"186-194 Glebe Point Rd, Glebe NSW 2037, Australia",AEDT,Not available in school holidays or public holidays
NSW,Inner West ,Story Time,teddy_book,"We read stories and rhymes to encourage a love of books and a desire to learn to read. These sessions support pre-schoolers with listening and language skills, and being comfortable as part of a group in a fun and engaging way. No bookings required.",3 - 5 years,Tuesday,10:30am - 11:00am,Emanuel Tsardoulias Community Library,"362-372 New Canterbury Road, Dulwich Hill NSW 2203",AEDT,Not available in school holidays or public holidays
