State,Council,Park Name,Short description,Address,Latitude,Longitude
NSW,Newcastle,Adamstown Park,"Modern playground with triple swings, inclusive saucer, climbing ropes, chain bridge, and two slides. Large shelter with picnic tables.","Glebe Rd, Adamstown NSW 2289",-32.934786,151.72963
NSW,Newcastle,Alder Park,"Playground with swings, fort with slide and rope wall, and spring rider. Plenty of seating.","128 Bridges Road, New Lambton NSW 2305",-32.931302,151.714643
NSW,Newcastle,Aldyth Street West Side Park,"Small reserve with combo swing set, table and seating, and a bubbler.","81A Aldyth St, New Lambton NSW 2305",-32.936903,151.704536
NSW,Newcastle,Avon Street Reserve,"Large upgraded playground with multiple swings, climbing gear, monkey bars, carousel, fort, and tunnel slide.","3 Avon Street, Mayfield NSW 2304",-32.89287332,151.7413208
NSW,Newcastle,Awabakal Park Drive,"Two play zones with climbing crocodile, round swing, carousel, see-saw, balance steppers, and wall climb. Shelter and seating.","67 Awabakal Dr, Fletcher NSW 2287",-32.863965,151.649442
NSW,Newcastle,Ballast Ground Playground,"Small playground with slide, climbers, swings, plus open grass and picnic tables.","66 Hunter St, Stockton NSW 2295",-32.91577,151.779875
NSW,Newcastle,Beauford Avenue Reserve,"Playground with fort and slide, plus swings.","32 Beauford Avenue, Maryland NSW 2287",-32.886337,151.662578
NSW,Newcastle,Bernborough Avenue Park,"Playground with dual slides, climbing wall, chain bridge, basket swing, spinner, and see-saw.","15 Bernborough Avenue, Maryland NSW 2287",-32.884381,151.66549
NSW,Newcastle,Birchgrove Drive Reserve,Open grassy space with shelter and seating for play and picnics.,"140 Birchgrove Drive, Wallsend NSW 2287",-32.909005,151.689825
NSW,Newcastle,Blackbutt Reserve – Carnley Ave,"Shaded playground with BBQs, picnic facilities, and nearby walking tracks.","Carnley Ave, New Lambton NSW 2305",-32.937635,151.699748
NSW,Newcastle,Blackbutt Reserve – Richley Reserve,"A family-friendly pocket of nature with wide open lawns, shaded picnic spots, and well-maintained playgrounds. Kids can explore climbing frames, swings, and nature-inspired play areas, while walking paths lead you through bushland and past native wildlife. ","Freyburg Street, New Lambton NSW 2305",-32.932732,151.699494
NSW,Newcastle,Braye Park,Playground with open grass space and sheltered picnic tables.,"68 Clarence Road, Waratah West NSW 2298",-32.90232,151.718852
NSW,Newcastle,Breen Park,"Best for younger kids — toddler slide, swings, and balancing net, plus picnic area.","79 Dunbar Street, Stockton NSW 2295",-32.910469,151.785211
NSW,Newcastle,Bull and Tourle Street Reserve,"Fort with slide and swings, plus nearby benches.","29 Shelley Close, Mayfield West NSW 2304",-32.888772,151.732704
NSW,Newcastle,Cameron Park,"Playground with seating, tables, and open grass space.","148 Christo Road, Waratah NSW 2298",-32.910114,151.720201
NSW,Newcastle,Carrington Foreshore,"Fort, slide, climbers, stand-on spinner, close to boardwalk and cycleway.","Hargrave Street, Carrington NSW 2294",-32.909872,151.763067
NSW,Newcastle,Casuarina Circuit Reserve,Playground with plenty of grassy space.,"11 Casuarina Circuit, Warabrook NSW 2304",-32.89076125,151.7217558
NSW,Newcastle,Cedrella Crescent Reserve,Playground with open grassy area.,"11 Cedrella Crescent, Warabrook NSW 2304",-32.891089,151.718492
NSW,Newcastle,Centennial Park,"Large shaded playground with slides, climbing ropes, spinner, and basket swing. Gardens and rotunda nearby.","126 Bruce Street, Cooks Hill NSW 2300",-32.933402,151.766612
NSW,Newcastle,Claremont Avenue Reserve,"Lovely spot near Fernleigh Track with playground, seating, and water bubbler.","31 Randall Parade, Adamstown Heights NSW 2289",-32.946386,151.716716
NSW,Newcastle,Coe Park,Toddler spring rider plus benches and picnic table.,"84 Denison Street, Carrington NSW 2294",-32.917593,151.764807
NSW,Newcastle,Hancock Park,"Timber playground with climbing nets, slides, swings, and picnic shelter.","231 McCaffrey Drive, Rankin Park NSW 2287",-32.921897,151.678513
NSW,Newcastle,Cook Park,"Swings, lookout slide, see-saw and picnic benches.","30 Macarthur Street, Shortland NSW 2307",-32.889066,151.685624
NSW,Newcastle,Coolamin Road Reserve,"Fenced, shaded playground with swing, slide, rope climber, and rocker.","14 Lambton Rd, Waratah NSW 2298",-32.905842,151.722492
