State,Term 1 start date,Term 1 end date,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone
VIC,28/1/2025,4/4/2025,Bayside,Baby Rhyme Time,baby,"Introduce your child to language, literature and the library. By exposing your child to a wide variety of the best books available and making reading an everyday part of life, you will lay the foundations for a lifelong love of reading.",0 - 1.5 years,Thursday,10:30am - 11am,Brighton Library,"14 Wilson St, Brighton VIC 3186",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Baby Rhyme Time,baby,"Introduce your child to language, literature and the library. By exposing your child to a wide variety of the best books available and making reading an everyday part of life, you will lay the foundations for a lifelong love of reading.",0 - 1.5 years,Tuesday,10:30am - 11am,Beaumaris Library,"96 Reserve Rd, Beaumaris VIC 3193",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Baby Rhyme Time,baby,"Introduce your child to language, literature and the library. By exposing your child to a wide variety of the best books available and making reading an everyday part of life, you will lay the foundations for a lifelong love of reading.",0 - 1.5 years,Friday,10:30am - 11am,Sandringham Library,"8 Waltham St, Sandringham VIC 3191",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Toddler Time,music_book,"These sessions include stories, songs and rhymes. Be an active participant with your child to share the joy of books and singing and encourage lifelong learning.",1.5 - 3 years,Tuesday,10:30am - 11am,Brighton Library,"14 Wilson St, Brighton VIC 3186",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Toddler Time,music_book,"These sessions include stories, songs and rhymes. Be an active participant with your child to share the joy of books and singing and encourage lifelong learning.",1.5 - 3 years,Friday,10:30am - 11am,Beaumaris Library,"96 Reserve Rd, Beaumaris VIC 3193",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Toddler Time,music_book,"These sessions include stories, songs and rhymes. Be an active participant with your child to share the joy of books and singing and encourage lifelong learning.",1.5 - 3 years,Wednesday,10:30am - 11am,Sandringham Library,"8 Waltham St, Sandringham VIC 3191",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Toddler Time,music_book,"These sessions include stories, songs and rhymes. Be an active participant with your child to share the joy of books and singing and encourage lifelong learning.",1.5 - 3 years,Monday,2:00pm - 2:30pm,Hampton Library,"1D Service St, Hampton VIC 3188",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Preschool Storytime,teddy_book,"These sessions include stories, songs, rhymes and an activity. To maximise the benefits available from Storytime, listen to the stories with your children and participate in the activities.",3 - 5 years,Friday,10:30am - 11am,Brighton Library,"14 Wilson St, Brighton VIC 3186",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Preschool Storytime,teddy_book,"These sessions include stories, songs, rhymes and an activity. To maximise the benefits available from Storytime, listen to the stories with your children and participate in the activities.",3 - 5 years,Thursday,10:30am - 11am,Beaumaris Library,"96 Reserve Rd, Beaumaris VIC 3193",UTC+11
VIC,28/1/2025,4/4/2025,Bayside,Preschool Storytime,teddy_book,"These sessions include stories, songs, rhymes and an activity. To maximise the benefits available from Storytime, listen to the stories with your children and participate in the activities.",3 - 5 years,Tuesday,10:30am - 11am,Sandringham Library,"8 Waltham St, Sandringham VIC 3191",UTC+11
