State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address
VIC,Bayside,Banksia Reserve Playground,slide,"All aboard the play train and head to the town-themed playground at Banksia Reserve, Beaumaris. The mini post office, police station and shop counter are open for business, offering local children hours of imaginative play. Children can also swing, slide, twirl and dig to their heart’s content on new monkey bars, an orbit carousel, Beaumaris fossil sand sculptures, tunnels and rubber train track steppers.",0 - 12 years,,,Banksia Reserve Playground,"83 Tramway Parade, Beaumaris VIC 3193"
VIC,Bayside,Beach Park Sandringham,slide,"Climb to the top of the tower to spy approaching pirates, get up close and personal with our two aquatic sculptures, Octo-pus and Chops the fish. Hold on tight and fly/spin through the air on the rope carousel or bounce the trampolines. These are just some of the options for play at the new Beach Park playground in Sandringham. And we haven’t forgotten the young-at heart, with yet another seniors’ exercise area to keep a spring in the step.",0 - 12 years,,,Beach Park Sandringham,"Foreshore, Sandringham VIC 3191"
VIC,Bayside,Beaumaris Reserve Playground,slide,"A quirky and interesting playground set amongst bushes and trees. A shaded structure has a big sandpit with sandplay tables. A main wooden structure has two wave slides, rope ladder, tic-tac-toe, spiral ladder and multiple levels. A small bird's nest swing, two standard swings and a speed boat on springs are bound to delight all age groups.",0- 12 years,,,Beaumaris Reserve Playground,"Reserve Rd, Beaumaris VIC 3193"
VIC,Bayside,Dendy Park South Playground,slide,"The Dendy Park South playground caters for different ages and abilities, carers and also for intergenerational activity by including equipment that allows for adults and children to work together. Adjacent to the playground is a life-sized game of snakes and ladders and the playground includes seating, tables, bins, drinking fountains, toilet facilities and shelter. The playground includes a wheelchair accessible carousel.",0- 12 years,,,Dendy Park South Playground,"Dacey St, Brighton East VIC 3187"
VIC,Bayside,Landcox Park Playground,slide,"Already a much loved destination in Brighton East with the lake and huge trees, the playground has had a makeover with the addition of new basket swing, toddler swing and standard swing set; a new wooden play structure with a range elements including slides, shop counter, ropes and accessible ramped access; spinning rope climb; and two new sandpits with waterplay elements. We are also building a new shelter with BBQ facilities and water fountain right opposite the playground.",0- 12 years,,,Landcox Park Playground,"Mavis Ave, Brighton East VIC 3187"
VIC,Bayside,North Road Playground,slide,"This all-inclusive playground located in Thomas Street South Reserve, Hampton is now open for play. ",0- 12 years,,,North Road Playground,"1 North Rd, Brighton VIC 3186"
VIC,Bayside,Tjilitjirrin Reserve Playground,slide,"At Tjilitjirrin Reserve in Tulip Street, the much-loved lion is pleased to have his kingdom back and is roaring over the new additions. Operate the mechanical diggers in the giant sandpit; splash in the water play; bounce on the new trampolines; or climb, swing, hide and spin to your heart’s content on the many new play elements.",0- 12 years,,,Tjilitjirrin Reserve Playground,"10 Spring St, Sandringham VIC 3191"
VIC,Bayside,Highland Avenue Reserve ,slide,"A spacious park featuring playground equipment, walking paths, and open green spaces for picnics.",0- 12 years,,,Highland Avenue Reserve ,"Highland Ave &, Marchant St, Highett VIC 3190"
VIC,Bayside,Lyle Anderson Reserve,slide,"The playground features a blue train on springs, swings, monkey bars, a flying fox, stepping stones, and a bridge over a sandpit, alongside a multilevel play structure with spiral and wave slides, various climbing options, and interactive elements, all set on soft matting, plus nearby amenities like an unshaded table, BBQ, toilets, and a dog off-leash area.",0- 12 years,,,Lyle Anderson Reserve,"8 Highett Grove, Highett VIC 3190"
VIC,Bayside,"Tibrockney Street Reserve, Highett",slide,"A family-friendly park equipped with a playground, sports facilities, and picnic areas.",0- 12 years,,,"Tibrockney Street Reserve, Highett","Tibrockney St, Highett VIC 3190"
VIC,Bayside,"Illaroo Reserve, Beaumaris",slide,"A picturesque park featuring a playground, walking paths, and serene natural surroundings.",0- 12 years,,,"Illaroo Reserve, Beaumaris","Illaroo Rd, Beaumaris VIC 3193"
VIC,Bayside,"Hurlingham Park, Brighton East",slide,"A well-maintained park with playgrounds, sports fields, and ample space for outdoor activities.",0- 12 years,,,"Hurlingham Park, Brighton East","Hurlingham Rd, Brighton East VIC 3187"
VIC,Bayside,"Basterfield Park South, Hampton East",slide,"A vibrant park with modern play equipment, picnic facilities, and open spaces for recreation.",0- 12 years,,,"Basterfield Park South, Hampton East","Basterfield Rd, Hampton East VIC 3188"
VIC,Bayside,"Alexander Park, Hampton",slide,"A community park with a playground, BBQ areas, and lovely walking paths surrounded by greenery.",0- 12 years,,,"Alexander Park, Hampton","Alexander St, Hampton VIC 3188"
VIC,Bayside,"Peterson Reserve, Highett",slide,"A spacious reserve featuring playgrounds, sports facilities, and plenty of open grassy areas.",0- 12 years,,,"Peterson Reserve, Highett","Peterson St, Highett VIC 3190"
VIC,Bayside,"Basterfield Park North, Hampton East",slide,"A family-friendly park with extensive play equipment, sports areas, and picnic spots.",0- 12 years,,,"Basterfield Park North, Hampton East","Basterfield Rd, Hampton East VIC 3188"
VIC,Bayside,"Gypsy Village Park, Hampton",slide,"A delightful park with a playground, picnic tables, and walking paths through lush greenery.",0- 12 years,,,"Gypsy Village Park, Hampton","Gypsy Village Rd, Hampton VIC 3188"
VIC,Bayside,"Brighton Beach Oval, Brighton",slide,A popular sports oval with playground facilities and picnic areas near Brighton Beach.,0- 12 years,,,"Brighton Beach Oval, Brighton","North Rd, Brighton VIC 3186"
VIC,Bayside,"William Street Reserve, Brighton",slide,"A charming local park with playground equipment, seating areas, and well-maintained gardens.",0- 12 years,,,"William Street Reserve, Brighton","William St, Brighton VIC 3186"
VIC,Bayside,"NG Wishart Reserve, Hampton East",slide,"A community park with a playground, sports facilities, and open spaces for leisure activities.",0- 12 years,,,"NG Wishart Reserve, Hampton East","Wishart St, Hampton East VIC 3188"
